objectid,parentid,item_code,title,commonname,class,order,suborder,family,bone_type,notes,location,subject,cabinet,source,rights,rightsstatement,type,format,group,display_template,language,object_location,image_small,image_thumb,
oc094,,SC 1511,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc095,,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1511.png,/objects/small/sc1511_sm.jpg,/objects/thumbs/sc1511_th.jpg,
oc096,oc094,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1511r.png,/objects/small/sc1511r_sm.jpg,/objects/thumbs/sc1511r_th.jpg,
oc097,,SC 1512,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc098,oc097,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1512.png,/objects/small/sc1512_sm.jpg,/objects/thumbs/sc1512_th.jpg,
oc099,oc097,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1512r.png,/objects/small/sc1512r_sm.jpg,/objects/thumbs/sc1512r_th.jpg,
oc100,,SC 1513,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc101,oc100,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1513.png,/objects/small/sc1513_sm.jpg,/objects/thumbs/sc1513_th.jpg,
oc102,oc100,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1513r.png,/objects/small/sc1513r_sm.jpg,/objects/thumbs/sc1513r_th.jpg,
oc103,,SC 1520,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Skull ,,,Frog;Amphibian;Skull,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc104,oc103,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1520.png,/objects/small/sc1520_sm.jpg,/objects/thumbs/sc1520_th.jpg,
oc105,oc103,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1520s.png,/objects/small/sc1520s_sm.jpg,/objects/thumbs/sc1520s_th.jpg,
oc106,oc103,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1520r.png,/objects/small/sc1520r_sm.jpg,/objects/thumbs/sc1520r_th.jpg,
